date,open,high,low,close,volume
2011-05-13 00:00:00+05:30,450.5,458.5,447.05,451.8,6669502
2011-05-16 00:00:00+05:30,452.75,453.45,448.75,450.4,3361195
2011-05-17 00:00:00+05:30,450.7,451.25,437.15,438.8,8337599
2011-05-18 00:00:00+05:30,438.45,440.3,428.15,429.85,11901486
2011-05-19 00:00:00+05:30,432.95,439.45,431.2,436.35,8667834
2011-05-20 00:00:00+05:30,437.75,441.25,433.85,440.0,6653894
2011-05-23 00:00:00+05:30,438.0,439.45,430.5,433.4,7115855
2011-05-24 00:00:00+05:30,431.8,438.9,431.8,436.45,5327250
2011-05-25 00:00:00+05:30,435.65,435.65,429.4,431.8,6288807
2011-05-26 00:00:00+05:30,434.95,446.5,434.25,445.1,14389229
2011-05-27 00:00:00+05:30,445.2,454.15,445.2,450.6,7258703
2011-05-30 00:00:00+05:30,452.25,454.2,445.25,447.45,3628010
2011-05-31 00:00:00+05:30,450.4,455.6,446.7,453.65,6754540
2011-06-01 00:00:00+05:30,453.7,456.9,449.75,451.25,3857433
2011-06-02 00:00:00+05:30,446.35,455.0,446.35,453.3,4517338
2011-06-03 00:00:00+05:30,457.75,460.85,443.95,445.45,9165506
2011-06-06 00:00:00+05:30,445.45,448.4,442.35,446.95,2949520
2011-06-07 00:00:00+05:30,444.95,457.55,444.95,456.7,8447167
2011-06-08 00:00:00+05:30,455.3,455.6,449.9,452.4,6812922
2011-06-09 00:00:00+05:30,451.6,456.5,451.35,454.7,4389468
2011-06-10 00:00:00+05:30,455.2,455.65,444.2,450.15,5308721
2011-06-13 00:00:00+05:30,449.55,449.55,438.95,441.15,6198209
2011-06-14 00:00:00+05:30,441.0,444.1,433.7,434.35,9096855
2011-06-15 00:00:00+05:30,434.65,437.95,428.25,429.2,9667409
2011-06-16 00:00:00+05:30,429.4,429.4,421.35,423.0,11975512
2011-06-17 00:00:00+05:30,424.8,425.75,412.35,414.05,10565714
2011-06-20 00:00:00+05:30,417.0,417.0,394.65,397.15,14532269
2011-06-21 00:00:00+05:30,400.3,407.5,399.05,404.45,8351846
2011-06-22 00:00:00+05:30,406.7,409.0,397.55,403.1,9643852
2011-06-23 00:00:00+05:30,403.45,415.95,403.15,414.9,9934627
2011-06-24 00:00:00+05:30,416.6,419.25,407.8,415.3,15189477
2011-06-27 00:00:00+05:30,413.05,420.25,410.75,415.4,6882135
2011-06-28 00:00:00+05:30,418.9,418.9,410.85,415.15,4901468
2011-06-29 00:00:00+05:30,417.35,423.2,415.65,421.9,5961888
2011-06-30 00:00:00+05:30,423.55,429.9,422.75,428.25,10429033
2011-07-01 00:00:00+05:30,432.3,432.3,408.3,410.8,13754271
